Action,Trial,AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,
(Action),(Trial),7962,8730,8190,8708,9094,8605,8517,8928,7435,9003,7897,8254,9279,8840,
(Action),(Trial),7959,8727,8190,8705,9094,8608,8517,8927,7423,9005,7900,8253,9277,8840,
(Action),(Trial),7959,8726,8189,8705,9094,8605,8517,8936,7432,9030,7898,8253,9270,8840,
(Action),(Trial),7961,8730,8193,8698,9094,8608,8517,8935,7431,9029,7899,8252,9275,8840,
(Action),(Trial),7960,8726,8192,8708,9094,8608,8518,8924,7430,9020,7901,8250,9275,8840,
(Action),(Trial),7962,8725,8191,8703,9094,8607,8516,8927,7428,9015,7897,8250,9270,8840,
(Action),(Trial),7958,8729,8195,8706,9094,8607,8527,8928,7429,9033,7900,8250,9264,8840,
(Action),(Trial),7960,8724,8190,8705,9094,8608,8525,8929,7433,9011,7898,8250,9282,8840,
(Action),(Trial),7960,8725,8194,8706,9094,8605,8527,8918,7432,9016,7898,8250,9272,8840,
(Action),(Trial),7960,8730,8192,8706,9094,8606,8517,8933,7432,9035,7899,8250,9286,8840,
(Action),(Trial),7960,8725,8193,8702,9094,8606,8516,8931,7436,9011,7898,8250,9280,8840,
(Action),(Trial),7962,8727,8190,8705,9094,8605,8514,8937,7431,9011,7901,8251,9270,8840,
(Action),(Trial),7961,8730,8193,8706,9094,8605,8516,8937,7435,9013,7900,8253,9276,8840,
(Action),(Trial),7962,8727,8192,8705,9094,8605,8516,8936,7438,9015,7901,8253,9263,8840,
(Action),(Trial),7962,8728,8192,8698,9094,8607,8516,8935,7436,9015,7896,8253,9268,8840,
(Action),(Trial),7960,8727,8192,8704,9094,8606,8516,8933,7431,9025,7901,8253,9275,8840,
(Action),(Trial),7959,8729,8191,8699,9094,8609,8516,8924,7443,9021,7898,8253,9281,8840,
(Action),(Trial),7960,8726,8193,8709,9094,8605,8516,8936,7428,9010,7900,8253,9278,8840,
